work,direct_equipment,inferred_equipment,inference_reason,count,sources,unit,quantity,cost_or_price
"Разработка грунта вручную с креплениями в траншеях шириной до 2 м, глубиной до 2 м, группа грунтов 3. Вертикальные стенки без креплений, применен коэф",,"самосвал, экскаватор",земляные выемки и работа с грунтом,280,Пример накопительной.xlsx:Лист_1:1453; Пример накопительной.xlsx:Лист_1:1455; Пример накопительной.xlsx:Лист_1:2247; Пример накопительной.xlsx:Лист_1:2443; Пример накопительной.xlsx:Лист_1:2661; Пример накопительной.xlsx:Лист_1:2889; Пример накопительной.xlsx:Лист_1:3457; Пример накопительной.xlsx:Лист_1:3567,100 м3 грунта,6.477,3027.42
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 2",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",248,Пример накопительной.xlsx:Лист_1:6331; Пример накопительной.xlsx:Лист_1:8519; Пример накопительной.xlsx:Лист_1:10137; Пример накопительной.xlsx:Лист_1:11613; Пример накопительной.xlsx:Лист_1:12261; Пример накопительной.xlsx:Лист_1:16027; Пример накопительной.xlsx:Лист_1:16909; Пример накопительной.xlsx:Лист_1:19359,100 м3 грунта,0.0467,947.7
"Разработка грунта вручную в траншеях шириной более 2 м и котлованах площадью сечения до 5 м2 с креплениями, глубина траншей и котлованов до 2 м, групп",,"самосвал, экскаватор",земляные выемки и работа с грунтом,156,Пример накопительной.xlsx:Лист_1:1483; Пример накопительной.xlsx:Лист_1:2251; Пример накопительной.xlsx:Лист_1:2447; Пример накопительной.xlsx:Лист_1:2665; Пример накопительной.xlsx:Лист_1:2893; Пример накопительной.xlsx:Лист_1:3473; Пример накопительной.xlsx:Лист_1:4067; Пример накопительной.xlsx:Лист_1:4451,100 м3 грунта,2.152,3669.93
Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 30 см,каток,"каток, трамбовка",уплотнение грунта или основания,131,Пример накопительной.xlsx:Лист_1:4211; Пример накопительной.xlsx:Лист_1:4233; Пример накопительной.xlsx:Лист_1:4255; Пример накопительной.xlsx:Лист_1:4277; Пример накопительной.xlsx:Лист_1:7761; Пример накопительной.xlsx:Лист_1:8021; Пример накопительной.xlsx:Лист_1:19165; Пример накопительной.xlsx:Лист_1:23607,1000 м3 уплотненного грунта,1.546,1507.82
Устройство бетонной подготовки,,"бетоновоз/миксер, бетононасос, кран",бетонные и железобетонные работы,128,Пример накопительной.xlsx:Лист_1:6401; Пример накопительной.xlsx:Лист_1:7457; Пример накопительной.xlsx:Лист_1:7519; Пример накопительной.xlsx:Лист_1:7633; Пример накопительной.xlsx:Лист_1:8837; Пример накопительной.xlsx:Лист_1:10179; Пример накопительной.xlsx:Лист_1:10449; Пример накопительной.xlsx:Лист_1:10475,"100 м3 бетона, бутобетона и железобетона в деле",0.014,60013.04
"Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2",трамбовка,"каток, трамбовка",уплотнение грунта или основания,79,Пример накопительной.xlsx:Лист_1:6329; Пример накопительной.xlsx:Лист_1:7779; Пример накопительной.xlsx:Лист_1:10135; Пример накопительной.xlsx:Лист_1:11611; Пример накопительной.xlsx:Лист_1:13035; Пример накопительной.xlsx:Лист_1:23605; Пример накопительной.xlsx:Лист_1:29353; Пример накопительной.xlsx:Лист_1:29387,100 м3 уплотненного грунта,0.2649,483.54
Устройство постели при одном кабеле в траншее,,"самосвал, экскаватор",земляные выемки и работа с грунтом,69,Пример накопительной.xlsx:Лист_1:20621; Пример накопительной.xlsx:Лист_1:20909; Пример накопительной.xlsx:Лист_1:21247; Пример накопительной.xlsx:Лист_1:21287; Пример накопительной.xlsx:Лист_1:21343; Пример накопительной.xlsx:Лист_1:22005; Пример накопительной.xlsx:Лист_1:22109; Пример накопительной.xlsx:Лист_1:22377,100 м кабеля,0.79,450.03
"Устройство бетонной подготовки из бетона В7,5",,"бетоновоз/миксер, бетононасос, кран",бетонные и железобетонные работы,66,Пример накопительной.xlsx:Лист_1:4159; Пример накопительной.xlsx:Лист_1:4523; Пример накопительной.xlsx:Лист_1:12135; Пример накопительной.xlsx:Лист_1:12173; Пример накопительной.xlsx:Лист_1:12205; Пример накопительной.xlsx:Лист_1:16199; Пример накопительной.xlsx:Лист_1:16237; Пример накопительной.xlsx:Лист_1:17693,"100 м3 бетона, бутобетона и железобетона в деле",0.1011,60013.04
"Провод в коробах, сечением до 35 мм2 (ПРОКЛАДКА КАБЕЛЯ В КАБЕЛЬ-КАНАЛЕ)",,"автовышка, кабелеукладчик, экскаватор","монтаж кабельных линий, СЦБ или связи",61,Пример накопительной.xlsx:Лист_1:40763; Пример накопительной.xlsx:Лист_1:41663; Пример накопительной.xlsx:Лист_1:41677; Пример накопительной.xlsx:Лист_1:41691; Пример накопительной.xlsx:Лист_1:41705; Пример накопительной.xlsx:Лист_1:41719; Пример накопительной.xlsx:Лист_1:41733; Пример накопительной.xlsx:Лист_1:43407,100 м,0.7,62.74
"Перевозка массовых навалочных грузов автомобилями-самосвалами, работающими вне карьеров на расстояние до 5 км (I класс груза)",самосвал,,,55,Пример накопительной.xlsx:Лист_1:10143; Пример накопительной.xlsx:Лист_1:11619; Пример накопительной.xlsx:Лист_1:24013; Пример накопительной.xlsx:Лист_1:24781; Пример накопительной.xlsx:Лист_1:30933; Пример накопительной.xlsx:Лист_1:31153; Пример накопительной.xlsx:Лист_1:31261; Пример накопительной.xlsx:Лист_1:33459,1 т груза,67.5558,6.69
